Drug Name,Drug ID,Cell Line Name,Cosmic ID,TCGA Classification,Tissue,Tissue Sub-type,IC50,AUC,Max Conc,RMSE,Z score,Dataset Version
"Docetaxel","1007","MIA-PaCa-2","724870","PAAD","pancreas","pancreas","-3.4685395898762263",".92429608461139079",".012500000000000001",".061309885104681966",".56719714837807544","GDSC2"
"Docetaxel","1007","KP-4","753572","PAAD","pancreas","pancreas","-5.5942230326913718",".78096502084134234",".012500000000000001",".085971954456424957","-.78906601446688274","GDSC2"
"Docetaxel","1007","MZ1-PC","753595","PAAD","pancreas","pancreas","-1.7887608862219118",".93552203802917067",".012500000000000001",".055846886649638806","1.6389569088439351","GDSC2"
"Docetaxel","1007","CAPAN-1","753624","PAAD","pancreas","pancreas","-4.6371771331985441",".8299597738393063",".012500000000000001",".090584920386324597","-.17843600602360851","GDSC2"
"Docetaxel","1007","BxPC-3","906693","PAAD","pancreas","pancreas","-4.0685643099593163",".86994329421452155",".012500000000000001",".062056273896615416",".18435960622395822","GDSC2"
"Docetaxel","1007","CFPAC-1","906821","PAAD","pancreas","pancreas","-3.4490123294005763",".88704489618838989",".012500000000000001",".078689190460895397",".57965624907057001","GDSC2"
"Docetaxel","1007","HuP-T3","907285","PAAD","pancreas","pancreas","-3.7136857768262117",".85910398395933185",".012500000000000001",".080271377708367467",".41078498644683059","GDSC2"
"Docetaxel","1007","HuP-T4","907286","PAAD","pancreas","pancreas","-3.3978133900041163",".9213754708410079",".012500000000000001",".076697499399067184",".61232303006040001","GDSC2"
"Docetaxel","1007","YAPC","909904","PAAD","pancreas","pancreas","-1.6197586493881977",".93907427303549662",".012500000000000001",".063160708301770313","1.7467864678644496","GDSC2"
"Docetaxel","1007","PSN1","910546","PAAD","pancreas","pancreas","-2.959048520009997",".92508249153410105",".012500000000000001",".062100480937456133",".89227093685473768","GDSC2"
"Docetaxel","1007","AsPC-1","910702","PAAD","pancreas","pancreas",".54466799044234604",".94884780323557871",".012500000000000001",".054482992194586459","3.1277691961275025","GDSC2"
"Docetaxel","1007","SW1990","910907","PAAD","pancreas","pancreas","-1.6154717883331728",".96777823311562272",".012500000000000001",".049597704889404369","1.7495216407580507","GDSC2"
"Docetaxel","1007","CAPAN-2","910915","PAAD","pancreas","pancreas","-1.0542591385036408",".9499678782582619",".012500000000000001",".063924441939062118","2.107595673869195","GDSC2"
"Docetaxel","1007","PANC-03-27","925346","PAAD","pancreas","pancreas","-3.9819473978949693",".88289607422723937",".012500000000000001",".071933038901693822",".23962433884881065","GDSC2"
"Docetaxel","1007","PANC-08-13","925347","PAAD","pancreas","pancreas","-1.5514697916020666",".95850263475962549",".012500000000000001",".051828681785907327","1.7903572368616572","GDSC2"
"Docetaxel","1007","PANC-10-05","925348","PAAD","pancreas","pancreas","-2.7610942593196546",".86115299772754572",".012500000000000001",".06114452072064365","1.0185729375641945","GDSC2"
"Docetaxel","1007","PA-TU-8988T","1240201","PAAD","pancreas","pancreas","-4.4916070389427558",".86062704381821642",".012500000000000001",".06296780750745401","-.085557004157965633","GDSC2"
"Docetaxel","1007","SU8686","1240218","PAAD","pancreas","pancreas","-1.8327614096107467",".94612076575268644",".012500000000000001",".049862323821047758","1.610882978447628","GDSC2"
"Docetaxel","1007","SUIT-2","1240219","PAAD","pancreas","pancreas","-1.831373108012146",".94745291620381589",".012500000000000001",".063804012109618571","1.6117687652393844","GDSC2"
"Docetaxel","1007","DAN-G","1290797","PAAD","pancreas","pancreas","-4.64266927637164",".84522753364874859",".012500000000000001",".084749429502531726","-.18194019263987887","GDSC2"
"Docetaxel","1007","HPAC","1298136","PAAD","pancreas","pancreas","-3.8824762584443242",".83982053100787579",".012500000000000001",".097480618102301492",".30309053493700017","GDSC2"
"Docetaxel","1007","Hs-766T","1298141","PAAD","pancreas","pancreas","-1.5723302989303316",".92319883281137238",".012500000000000001",".08556376318232449","1.7770474763029003","GDSC2"
"Docetaxel","1007","KP-1N","1298216","PAAD","pancreas","pancreas","-4.3404631502637558",".86234047922518209",".012500000000000001",".074842312007467035",".010878280784079828","GDSC2"
"Docetaxel","1007","KP-2","1298218","PAAD","pancreas","pancreas","-3.3484205213335589",".90353356097277382",".012500000000000001",".066299551184795719",".64383747239730693","GDSC2"
"Docetaxel","1007","PANC-02-03","1298475","PAAD","pancreas","pancreas","-3.899312932634897",".84086711617843668",".012500000000000001",".065884887301209505",".29234812591712522","GDSC2"
"Docetaxel","1007","PANC-04-03","1298476","PAAD","pancreas","pancreas","-.89906625546531105",".90810730245013505",".012500000000000001",".068308814787300734","2.2066143641224532","GDSC2"
"Docetaxel","1007","PA-TU-8902","1298526","PAAD","pancreas","pancreas","-2.6376804515172676",".9011604798542594",".012500000000000001",".06138570033652474","1.0973154247743944","GDSC2"
"Docetaxel","1007","PL4","1298533","PAAD","pancreas","pancreas","-4.113667214174443",".86688077137085795",".012500000000000001",".062273310698480272",".15558231686271223","GDSC2"
"Methotrexate","1008","HPAF-II","724869","PAAD","pancreas","pancreas","3.5365315205638668",".97224512031226051","1",".06247674750281576","1.2798895172351616","GDSC2"
"Methotrexate","1008","MIA-PaCa-2","724870","PAAD","pancreas","pancreas","-1.7990676403903911",".70082087318149333","1",".1221933984640448","-.86453332292356999","GDSC2"
"Methotrexate","1008","KP-4","753572","PAAD","pancreas","pancreas","1.4524765820450825",".96359320420093575","1",".18909315343280866",".4422900508041045","GDSC2"
"Methotrexate","1008","MZ1-PC","753595","PAAD","pancreas","pancreas","3.3501637159408109",".95455718512480336","1",".04409173699720708","1.2049867059766703","GDSC2"
"Methotrexate","1008","CAPAN-1","753624","PAAD","pancreas","pancreas","1.9688850903143591",".94656683154313404","1",".070263683287366374",".64983903763370754","GDSC2"
"Methotrexate","1008","BxPC-3","906693","PAAD","pancreas","pancreas",".01249107489170144",".84974040001858553","1",".27232842587843387","-.13645241426611554","GDSC2"
"Methotrexate","1008","CFPAC-1","906821","PAAD","pancreas","pancreas","-1.3677005085324621",".71786320099312917","1",".12876984968831942","-.69116319107047441","GDSC2"
"Methotrexate","1008","HuP-T3","907285","PAAD","pancreas","pancreas","-1.8611431256848436",".66186241425386916","1",".11693989083874606","-.8894819902547858","GDSC2"
"Methotrexate","1008","HuP-T4","907286","PAAD","pancreas","pancreas","-.029867615860746211",".86113479941237625","1",".076651614509789856","-.1534767335953291","GDSC2"
"Methotrexate","1008","YAPC","909904","PAAD","pancreas","pancreas",".61830461711136986",".84939695128269721","1",".081137943347218994",".10702921874714455","GDSC2"
"Methotrexate","1008","PSN1","910546","PAAD","pancreas","pancreas","-3.366013428906228",".51019287208109487","1",".20609883581323893","-1.494302208632543","GDSC2"
"Methotrexate","1008","AsPC-1","910702","PAAD","pancreas","pancreas","2.7710924657769089",".89429567411510991","1",".11265005223984757",".97225302837622374","GDSC2"
"Methotrexate","1008","SW1990","910907","PAAD","pancreas","pancreas","1.7802442138951047",".94189709622529028","1",".086413275997318698",".57402265942049457","GDSC2"
"Methotrexate","1008","CAPAN-2","910915","PAAD","pancreas","pancreas","3.369379458158424",".95089848620393402","1",".061232200795902254","1.2127096767732026","GDSC2"
"Methotrexate","1008","PANC-03-27","925346","PAAD","pancreas","pancreas","-1.4917401462523054",".72489026308587845","1",".1108994619787602","-.74101578010264502","GDSC2"
"Methotrexate","1008","PANC-08-13","925347","PAAD","pancreas","pancreas","-.3180759368287856",".81084722334866999","1",".062856874803846913","-.26931011754412021","GDSC2"
"Methotrexate","1008","PANC-10-05","925348","PAAD","pancreas","pancreas","-.41925155525846025",".74498609361969814","1",".23120117979672736","-.30997346208759896","GDSC2"
"Methotrexate","1008","PA-TU-8988T","1240201","PAAD","pancreas","pancreas","-2.6032912842859268",".60542992454841382","1",".15095034375682614","-1.1877576691574108","GDSC2"
"Methotrexate","1008","SU8686","1240218","PAAD","pancreas","pancreas","-.15221555122847011",".81589779209656232","1",".10503196011382464","-.20264941301412709","GDSC2"
"Methotrexate","1008","SUIT-2","1240219","PAAD","pancreas","pancreas","-.31984934917807656",".80514967181985053","1",".20615323610004335","-.27002286710272067","GDSC2"
"Methotrexate","1008","DAN-G","1290797","PAAD","pancreas","pancreas","-3.1769007784024224",".53416870287366192","1",".09572540704898351","-1.4182962203883311","GDSC2"
"Methotrexate","1008","HPAC","1298136","PAAD","pancreas","pancreas","1.0025049909671111",".8679299222544653","1",".11853291043245584",".26144262800827522","GDSC2"
