"Uniprot ID","Symbol","Protein Intensity","Z-Score"
"Q13492","PICALM","5.4768376","1.6102557"
"P35610","SOAT1","4.102559","1.6099061"
"O43760","SYNGR2","4.931959","1.604744"
"P48960","ADGRE5","5.3670373","1.6037868"
"O75400","PRPF40A","5.399045","1.6030841"
"Q13438","OS9","4.007067","1.6021534"
"Q9UJF2","RASAL2","2.3780663","1.6002481"
"P29317","EPHA2","6.265134","1.5990105"
"Q27J81","INF2","5.5847187","1.5986112"
"O75146","HIP1R","4.158105","1.5958164"
"Q96S66","CLCC1","5.5852757","1.5878897"
"O75369","FLNB","9.015499","1.5862715"
"Q7Z7G0","ABI3BP","3.3272707","1.5853156"
"Q69YL0","NCBP2AS2","3.8011184","1.585059"
"Q8WW01","TSEN15","2.1209164","1.5754752"
"Q92968","PEX13","1.7155433","1.571524"
"Q8TC36","SUN5","5.758741","1.5671462"
"P41440","SLC19A1","3.2737682","1.5653304"
"P49755","TMED10","6.565329","1.5650542"
"Q9H7Z6","KAT8","3.2583773","1.5621958"
"Q6WCQ1","MPRIP","5.2392282","1.5604779"
"P82663","MRPS25","3.9516816","1.5580488"
"P18754","RCC1","7.503247","1.5501026"
"P54098","POLG","3.0670207","1.5439856"
"Q6P587","FAHD1","6.2869215","1.5422671"
"Q13838","DDX39B","6.0171676","1.5403868"
"Q9Y394","DHRS7","5.889671","1.540203"
"O76021","RSL1D1","8.103702","1.5386368"
"P51991","HNRNPA3","7.8204327","1.5381562"
"Q15041","ARL6IP1","4.982262","1.5374365"
"Q8NHQ9","DDX55","3.4632864","1.5368316"
"Q9NW08","POLR3B","2.842541","1.5363626"
"Q9UHA4","LAMTOR3","4.902635","1.5353009"
"Q9NPC6","MYOZ2","3.9390802","1.53361"
"Q9Y5L4","TIMM13","6.4078546","1.5329349"
"O43818","RRP9","5.751726","1.5323524"
"P45880","VDAC2","9.905922","1.531442"
"Q00765","REEP5","6.4042068","1.5313519"
"P26640","VARS1","6.2121325","1.5293934"
"P15311","EZR","8.857311","1.5263227"
