"Uniprot ID","Symbol","Protein Intensity","Z-Score"
"Q9NX76","CMTM6","4.038435","1.4689124"
"P23786","CPT2","4.597276","1.4669946"
"Q9Y376","CAB39","3.9010077","1.4658395"
"O00330","PDHX","5.819307","1.4619904"
"P34059","GALNS","3.7610445","1.4600959"
"Q6PJT7","ZC3H14","4.8029385","1.4585996"
"Q9NVH6","TMLHE","3.7104926","1.458031"
"Q9NZM1","MYOF","7.8308616","1.4488868"
"Q9GZN6","SLC6A16","4.1979213","1.4454783"
"Q8N5C6","SRBD1","3.6281292","1.444697"
"P15311","EZR","8.765426","1.444603"
"Q13438","OS9","3.8784413","1.4434189"
"Q9H488","POFUT1","4.246651","1.4426814"
"Q9UID3","VPS51","2.5631297","1.4400307"
"P13987","CD59","6.180344","1.439863"
"P55060","CSE1L","6.514912","1.4396971"
"P15954","COX7C","6.871053","1.4374412"
"Q86WR7","PROSER2","3.5711122","1.4341744"
"P46977","STT3A","5.2218885","1.4341024"
"P13646","KRT13","8.829345","1.4329419"
"Q01484","ANK2","4.6892185","1.432687"
"Q13131","PRKAA1","4.1721053","1.4317294"
"Q99466","NOTCH4","6.3390613","1.4266621"
"Q05D32","CTDSPL2","4.2036257","1.4239632"
"O95255","ABCC6","5.8498197","1.4214259"
"P05108","CYP11A1","3.2840757","1.4204065"
"Q7L2J0","MEPCE","4.2768574","1.4197483"
"Q6UVK1","CSPG4","6.63942","1.4196008"
"Q9HC36","MRM3","3.6965325","1.4075482"
"P08567","PLEK","5.845636","1.4032885"
"Q9Y375","NDUFAF1","3.3474836","1.3996682"
"Q9HC07","TMEM165","3.1961808","1.3996112"
"P05783","KRT18","13.745949","1.3985046"
"P08727","KRT19","12.932494","1.3959144"
"P49750","YLPM1","4.8001204","1.3950061"
"P51608","MECP2","3.8527553","1.3945857"
"Q27J81","INF2","5.3810215","1.3941051"
"Q7Z7F0","KHDC4","3.305705","1.3905479"
"Q86U42","PABPN1","7.67803","1.388623"
"Q9Y6K9","IKBKG","3.1407628","1.3876898"
"P50219","MNX1","3.8736815","1.3871502"
"P00403","MT-CO2","7.707826","1.3859446"
"Q9BSA4","TTYH2","5.0279517","1.3842068"
"Q15428","SF3A2","4.4265156","1.3833538"
"Q9GZT6","CCDC90B","4.314781","1.3791482"
"Q9Y5J7","TIMM9","6.3236194","1.3777096"
"Q15651","HMGN3","2.1886725","1.3776333"
"P82650","MRPS22","4.8405275","1.3771044"
"P20339","RAB5A","4.417997","1.3751473"
"O60637","TSPAN3","6.59828","1.374273"
"Q13042","CDC16","2.6309216","1.3741032"
"Q6ZMI0","PPP1R21","4.354069","1.3737735"
"Q86TM6","SYVN1","3.1641433","1.3731915"
"P14854","COX6B1","5.610059","1.3727646"
"Q9NZC3","GDE1","2.738438","1.3720268"
"Q9NPC6","MYOZ2","3.780124","1.3684969"
"Q8WVC0","LEO1","3.2713816","1.366256"
"Q9Y4D1","DAAM1","3.7926219","1.3659894"
"Q8N392","ARHGAP18","3.2737834","1.3650885"
"Q12864","CDH17","6.569422","1.3627372"
"Q9NP77","SSU72","3.55715","1.3606355"
"Q13503","MED21","2.7070718","1.3599201"
"Q68DQ2","CRYBG3","5.1316214","1.3597487"
"Q9BW60","ELOVL1","3.150369","1.3584901"
"Q15828","CST6","4.134831","1.3584275"
"P17677","GAP43","5.1478524","1.3566762"
"Q9P0S2","COX16","3.0661914","1.3561908"
"Q8WW59","SPRYD4","4.5136633","1.3561305"
"Q5VYS8","TUT7","5.402514","1.3555174"
"Q5QJ38","TCHHL1","4.9934735","1.3546412"
"Q9UFF9","CNOT8","2.7509458","1.3512847"
"Q9H845","ACAD9","5.3232703","1.3509804"
"Q9Y5M8","SRPRB","5.99959","1.3502111"
"P14406","COX7A2","7.987392","1.3500943"
"Q14669","TRIP12","3.6683266","1.3498737"
"Q9H3Z4","DNAJC5","2.71163","1.3481832"
"P51114","FXR1","6.183447","1.3463641"
"Q9NRP0","OSTC","4.4645123","1.3463453"
"Q99442","SEC62","6.380086","1.3446445"
"Q9Y6B6","SAR1B","4.71668","1.3442256"
"O95352","ATG7","3.1302745","1.3430746"
"Q02252","ALDH6A1","4.905957","1.3402289"
"Q9HAV7","GRPEL1","7.2537355","1.3355913"
"Q8N3D4","EHBP1L1","3.4362109","1.3297695"
"Q9NQG5","RPRD1B","6.0055704","1.3291469"
"Q8TCT8","SPPL2A","2.0827487","1.3290972"
"Q8N201","INTS1","3.014255","1.3290238"
"P20936","RASA1","4.251884","1.3278562"
"O00193","C11orf58","3.0905366","1.3278468"
"Q12802","AKAP13","3.3291435","1.3272496"
"Q9H0E3","SAP130","4.0545216","1.324742"
"Q13501","SQSTM1","6.162717","1.3239753"
"Q9Y5S1","TRPV2","6.6751094","1.3227328"
"P52597","HNRNPF","7.6120768","1.320211"
"Q9ULC5","ACSL5","5.3135185","1.3183513"
"Q9BTU6","PI4K2A","4.5264797","1.317582"
"Q49AH0","CDNF","6.268432","1.3162763"
"Q9NQT8","KIF13B","3.678756","1.3159343"
"P09543","CNP","5.875517","1.3151674"
"Q9UMS4","PRPF19","7.5780277","1.3149246"
"Q9H5V8","CDCP1","5.1853037","1.3143187"
"O60573","EIF4E2","2.9093218","1.3142314"
"Q9NS93","TM7SF3","4.027323","1.3117031"
"Q96GQ7","DDX27","5.895042","1.3113"
"P61009","SPCS3","6.4671154","1.310101"
"Q8TC12","RDH11","5.0042896","1.309253"
"Q9BX68","HINT2","6.680203","1.3075658"
"Q8N5I9","NOPCHAP1","3.6545308","1.3074286"
"Q96CM8","ACSF2","4.402256","1.3058116"
"Q9H788","SH2D4A","3.3568904","1.3046215"
"Q15070","OXA1L","5.144208","1.299146"
